,Model,Accuracy,Recall,Precision,f1-score,Roc_auc,Training Time(s)
0,LogisticRegression (RFE),0.950,0.938,0.957,0.947,0.950,0.004
0,SVC (linear) (RFE),0.950,0.938,0.957,0.947,0.950,0.035
0,AdaBoost (RFE),0.950,0.938,0.957,0.947,0.950,0.113
0,LogisticRegression,0.950,0.927,0.967,0.947,0.949,0.029
0,SVC (linear),0.950,0.927,0.967,0.947,0.949,0.472
0,RandomForestClassifier (RFE),0.945,0.927,0.957,0.942,0.944,0.087
0,AdaBoost,0.945,0.927,0.957,0.942,0.944,0.320
0,RandomForestClassifier,0.930,0.927,0.927,0.927,0.930,0.109
0,DecisionTreeClassifier,0.925,0.917,0.926,0.921,0.925,0.019
0,DecisionTreeClassifier (RFE),0.925,0.917,0.926,0.921,0.925,0.005
